second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3.1-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
260,4:20,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 2] ใช่ PR เทค เลย เออ ก็ ยุ่ง อ่ะ งาน ยุ่ง…,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
261,4:21,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
262,4:22,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
263,4:23,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
264,4:24,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
265,4:25,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
266,4:26,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
267,4:27,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
268,4:28,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ถอดออกเข้ามาเลย เออไม่เงินผมบอกว่ามันคื…,,[Speaker 1] อ่า อัน นี้ อยาก โฟกัส ตรง นี้ แล้ว ก็ …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
269,4:29,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] ไป เสริม ศักยภาพ แล้ว ก็ จะ ลอง ดู ว่า …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
270,4:30,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] ไป เสริม ศักยภาพ แล้ว ก็ จะ ลอง ดู ว่า …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
271,4:31,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] ไป เสริม ศักยภาพ แล้ว ก็ จะ ลอง ดู ว่า …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
272,4:32,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] ไป เสริม ศักยภาพ แล้ว ก็ จะ ลอง ดู ว่า …,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
273,4:33,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] อัน นี้ ไม่ ได้ บอก ว่า เรา ไม่ เก่ง นะ…,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
274,4:34,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] อัน นี้ ไม่ ได้ บอก ว่า เรา ไม่ เก่ง นะ…,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
275,4:35,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] อัน นี้ ไม่ ได้ บอก ว่า เรา ไม่ เก่ง นะ…,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
276,4:36,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] ไม่ต้องมาไล่เก็บ ไล่กวดไล่กัน แล้วมันแก…,,[Speaker 1] อัน นี้ ไม่ ได้ บอก ว่า เรา ไม่ เก่ง นะ…,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
277,4:37,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
278,4:38,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
279,4:39,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
280,4:40,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
281,4:41,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
282,4:42,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
283,4:43,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
284,4:44,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
285,4:45,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
286,4:46,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
287,4:47,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
288,4:48,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
289,4:49,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] ค่ะ ขออนุญาตนะคะ ถัดไปวาระที่ 5 เรื่องเ…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
290,4:50,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
291,4:51,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
292,4:52,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
293,4:53,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
294,4:54,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
295,4:55,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
296,4:56,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
297,4:57,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
298,4:58,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
299,4:59,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
300,5:00,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
301,5:01,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
302,5:02,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 2] วาระที่ 6 เรื่องอื่น ๆ นะ วันนี้พี่ปอมม…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
303,5:03,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
304,5:04,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
305,5:05,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
306,5:06,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
307,5:07,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
308,5:08,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
309,5:09,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
310,5:10,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
311,5:11,[Speaker 4] ไม่ ก็ ก็อาจจะบอกว่า อาจ อาจจะอยากโฟกัส…,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 5] ไม่ ก็ อาจ ก็ อาจ จะ บอก ว่า อ่า อาจ อา…,
312,5:12,,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 8] ,
313,5:13,,[Speaker 4] ไม่ก็ ก็อาจจะบอกว่าอาจจะอยากโฟกัสตรงนี้…,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 8] ,
314,5:14,,,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 8] ,
315,5:15,,,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 8] ,
316,5:16,,,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 8] ,
317,5:17,,,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 8] ,
318,5:18,,,[Speaker 1] พอดีว่าขออนุญาตอัปเดต นิดนึงค่ะ ในส่วนข…,,,[Speaker 8] ,
319,5:19,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
320,5:20,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
321,5:21,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
322,5:22,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
323,5:23,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
324,5:24,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
325,5:25,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
326,5:26,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
327,5:27,,,[Speaker 2] ค่อนข้าง critical ค่ะ ซึ่งวันนี้น่ะเขาค…,,,[Speaker 8] ,
328,5:28,,,[Speaker 1] อ๋อ ผมจำได้เดี๋ยว ผมว่าเงี้ย ไม่ต้องอยู…,,,[Speaker 8] ,
329,5:29,,,[Speaker 1] อ๋อ ผมจำได้เดี๋ยว ผมว่าเงี้ย ไม่ต้องอยู…,,,[Speaker 8] ,
330,5:30,,,[Speaker 1] อ๋อ ผมจำได้เดี๋ยว ผมว่าเงี้ย ไม่ต้องอยู…,,,[Speaker 8] ,
331,5:31,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
332,5:32,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
333,5:33,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
334,5:34,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
335,5:35,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
336,5:36,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
337,5:37,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
338,5:38,,,[Speaker 2] ค่ะ แต่ปกติจริงๆเชยๆค่ะ ปกติเฉยๆว่ะ ค่ะ…,,,[Speaker 8] ,
