second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
314,5:14,[Speaker 2] ครับ ก็ อันนี้ก็ถือว่า ให้บันทึกไว้ รับ…,[Speaker 2] ก็วนกลับไปเรื่องเดิม เพราะว่าอย่างนี้อย…,,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[President] ไป ไป บอก กัน มั้ย นั่น เออ,
315,5:15,[Speaker 2] ครับ ก็ อันนี้ก็ถือว่า ให้บันทึกไว้ รับ…,[Speaker 2] ก็วนกลับไปเรื่องเดิม เพราะว่าอย่างนี้อย…,[Speaker 1] เดี๋ยวจะไปบอกกันในนั่นเออ,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[President] ไป ไป บอก กัน มั้ย นั่น เออ,
316,5:16,[Speaker 2] ครับ ก็ อันนี้ก็ถือว่า ให้บันทึกไว้ รับ…,[Speaker 2] ก็วนกลับไปเรื่องเดิม เพราะว่าอย่างนี้อย…,,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,,
317,5:17,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 2] ก็วนกลับไปเรื่องเดิม เพราะว่าอย่างนี้อย…,[Speaker 1] ก็ วนกลับไปเรื่องเดิม เพราะว่ามีอย่างนี…,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
318,5:18,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 2] ก็วนกลับไปเรื่องเดิม เพราะว่าอย่างนี้อย…,[Speaker 1] ก็ วนกลับไปเรื่องเดิม เพราะว่ามีอย่างนี…,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
319,5:19,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 2] ก็วนกลับไปเรื่องเดิม เพราะว่าอย่างนี้อย…,[Speaker 1] ก็ วนกลับไปเรื่องเดิม เพราะว่ามีอย่างนี…,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
320,5:20,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 2] ก็วนกลับไปเรื่องเดิม เพราะว่าอย่างนี้อย…,[Speaker 1] ก็ วนกลับไปเรื่องเดิม เพราะว่ามีอย่างนี…,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
321,5:21,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] ก็ วนกลับไปเรื่องเดิม เพราะว่ามีอย่างนี…,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
322,5:22,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] ก็ วนกลับไปเรื่องเดิม เพราะว่ามีอย่างนี…,,[Speaker 2] ว่าเอ่อผู้บริหารจะจัดย่อย จะได้รู้ว่าต้…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
323,5:23,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] ก็ วนกลับไปเรื่องเดิม เพราะว่ามีอย่างนี…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
324,5:24,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
325,5:25,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
326,5:26,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
327,5:27,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
328,5:28,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
329,5:29,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
330,5:30,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
331,5:31,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
332,5:32,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือว่า มัน หลักการอย่างเดียวนั้นมันไม่พ…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] ก็ วน กลับ ไป เรื่อง เดิม เพราะ ว่า จริ…,
333,5:33,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,,
334,5:34,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
335,5:35,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
336,5:36,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
337,5:37,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
338,5:38,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
339,5:39,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] มันจะเป็นมันจะเป็นเหมือนแมปอ่ะ แมปให้กั…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
340,5:40,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
341,5:41,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เพราะงั้นเนี่ย เอ่อผมว่า อันนี้ถือว่าเป…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] เพราะ ฉะนั้น เนี่ย เอ่อ ผม ว่า อัน นี้ …,
342,5:42,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] ต้องมีแผนงบประมาณ,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,,
343,5:43,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] ต้องมีแผนงบประมาณ,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
344,5:44,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 2] ค่ะ,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
345,5:45,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 2] ค่ะ,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
346,5:46,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
347,5:47,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
348,5:48,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
349,5:49,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
350,5:50,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
351,5:51,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
352,5:52,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] เกิดมีโปรเจกต์สำคัญสำคัญที่อ่าสมมติว่าท…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
353,5:53,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
354,5:54,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] นะครับ ซึ่ง อาจจะความดูยากนิดนึงเพราะว่…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,[Board Member 1] นะ ครับ ซึ่ง การ ทำ ความ ดู ยาก นิด นึง…,
355,5:55,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] กับบริษัทแม่ ร่วม ๆ กันทำใช่ไหมครับ เพร…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,[Board Member 1] เพราะ งั้น แปล ว่า จะ ต้อง มี เป้า หมาย…,
356,5:56,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] กับบริษัทแม่ ร่วม ๆ กันทำใช่ไหมครับ เพร…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,[Board Member 1] เพราะ งั้น แปล ว่า จะ ต้อง มี เป้า หมาย…,
357,5:57,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] กับบริษัทแม่ ร่วม ๆ กันทำใช่ไหมครับ เพร…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,[Board Member 1] เพราะ งั้น แปล ว่า จะ ต้อง มี เป้า หมาย…,
358,5:58,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] กับบริษัทแม่ ร่วม ๆ กันทำใช่ไหมครับ เพร…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,[Board Member 1] เพราะ งั้น แปล ว่า จะ ต้อง มี เป้า หมาย…,
359,5:59,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] กับบริษัทแม่ ร่วม ๆ กันทำใช่ไหมครับ เพร…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,[Board Member 1] เพราะ งั้น แปล ว่า จะ ต้อง มี เป้า หมาย…,
360,6:00,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เป็นตัวเลข ทั้งลูกและแม่ ให้ชัด,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,,
361,6:01,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เป็นตัวเลข ทั้งลูกและแม่ ให้ชัด,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,,
362,6:02,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เป็นตัวเลข ทั้งลูกและแม่ ให้ชัด,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,,
363,6:03,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] เป็นตัวเลข ทั้งลูกและแม่ ให้ชัด,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,,
364,6:04,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือ ไม่ได้แปลว่ามีเป้าแล้วต้องได้ตามนั้…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,,
365,6:05,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือ ไม่ได้แปลว่ามีเป้าแล้วต้องได้ตามนั้…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,,
366,6:06,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือ ไม่ได้แปลว่ามีเป้าแล้วต้องได้ตามนั้…,,[Speaker 2] คือก็อย่างที่บอกว่ามันเป็นแผนสำคัญ แล้ว…,,
367,6:07,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือ ไม่ได้แปลว่ามีเป้าแล้วต้องได้ตามนั้…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
368,6:08,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือ ไม่ได้แปลว่ามีเป้าแล้วต้องได้ตามนั้…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
369,6:09,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือ ไม่ได้แปลว่ามีเป้าแล้วต้องได้ตามนั้…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
370,6:10,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] คือ ไม่ได้แปลว่ามีเป้าแล้วต้องได้ตามนั้…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
371,6:11,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] แต่ว่าถ้ามันไม่มีเป้าเลย บนทั้งลูกทั้งแ…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
372,6:12,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] แต่ว่าถ้ามันไม่มีเป้าเลย บนทั้งลูกทั้งแ…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
373,6:13,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] แต่ว่าถ้ามันไม่มีเป้าเลย บนทั้งลูกทั้งแ…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
374,6:14,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] แต่ว่าถ้ามันไม่มีเป้าเลย บนทั้งลูกทั้งแ…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
375,6:15,[Speaker 3] แผน ตัวเลข เพราะฉะนั้นเนี่ย เอ่อ ผมว่า …,[Speaker 3] คือผมเพิ่มเติมแล้วกัน แผนต้องมี ครับ ปร…,[Speaker 1] แต่ว่าถ้ามันไม่มีเป้าเลย บนทั้งลูกทั้งแ…,,[Speaker 2] เพราะว่าปีนี้ก็อย่างที่บอกอ่ะ มันเป็นกา…,,
